Date,Currency_in_circulation_Total,Other_deposits_with_RBI,Bankers_deposits_with_RBI,Reserve_Money_(Liabilities/Components),RBIs_Claims_on_Government(net),RBIs_Claims_on_Central_Govt,RBIs_Claims_on_Banks_and_Commercial_sector,RBIs_Claims_on_Banks_(Including NABARD),RBIs_claims_on_Commercial_sector_(Excluding NABARD),Net_foreign_exchange_assets_of_RBI,Govts_currency_liabilities_to_the_public,Net_non_monetary_liabilities_of_RBI
06-07-2001,234802,3980,66536,305318,166691,,16355,7894,8461,205487,5565,88780
13-07-2001,234428,3897,70531,308856,166704,,21772,11751,10021,205354,5565,90539
20-07-2001,231389,3671,69480,304540,165737,,19405,10148,9257,205404,5565,91571
27-07-2001,227989,3517,74768,306274,161554,,25340,13724,11616,205913,5640,92173
03-08-2001,229965,3526,67139,300630,164384,,16081,7750,8331,206301,5640,91776
10-08-2001,231704,3446,68572,303722,166058,,17037,8765,8272,207918,5640,92931
17-08-2001,230761,3303,71120,305184,156826,,18151,9168,8983,210125,5640,85558
24-08-2001,228439,3654,75940,308033,156133,,19647,10391,9256,211788,5720,85255
31-08-2001,225969,3709,66781,296459,147741,,15812,7658,8154,213826,5721,86641
07-09-2001,229555,3661,81591,314807,160204,,22043,12192,9851,214160,5721,87321
14-09-2001,228709,3459,73719,305887,153778,,21002,11166,9836,215833,5721,90447
21-09-2001,226789,3318,71909,302016,152030,,21626,11124,10502,214344,5805,91789
28-09-2001,224562,3470,80956,308988,160240,,20224,10804,9420,214028,5805,91309
05-10-2001,228308,3555,70903,302766,157370,,17315,9612,7703,215779,5805,93503
12-10-2001,230770,3191,74712,308673,157758,,21159,12299,8860,216706,5805,92755
19-10-2001,231864,3137,75408,310409,156545,,22924,11890,11034,216719,5889,91668
26-10-2001,232911,3248,73454,309613,156006,,22505,11941,10564,216881,5889,91668
02-11-2001,234143,3171,79894,317208,163404,,22780,12334,10446,218609,5889,93474
09-11-2001,239967,2981,64353,307301,152334,,19517,10198,9319,222083,5889,92522
16-11-2001,244132,2736,72678,319546,164082,,18659,10841,7818,223086,5889,92170
23-11-2001,241263,3079,64633,308975,149977,,20519,11167,9352,223954,5889,91364
30-11-2001,238985,2911,76692,318588,163101,,17330,9593,7737,224988,5993,92824
07-12-2001,243099,2494,65313,310906,151316,,21753,11817,9936,225375,5993,93531
14-12-2001,243131,2826,68934,314891,155689,,19347,10100,9247,228990,5993,95128
21-12-2001,241420,2470,67612,311502,146861,,23185,12581,10604,229647,5993,94184
28-12-2001,239470,2519,72521,314510,147984,,25121,14292,10829,232111,6077,96783
04-01-2002,241182,2609,64947,308738,149004,,19977,11046,8931,233211,6077,99531
11-01-2002,243561,2424,65027,311012,151758,,16665,9056,7609,236751,6077,100239
18-01-2002,243595,2384,67047,313026,148559,,20175,11190,8985,237634,6077,99419
25-01-2002,241564,2298,73556,317418,152460,,19131,11247,7884,238092,6155,98420
01-02-2002,241017,2640,68254,311911,146543,,18037,10128,7909,240510,6155,99334
08-02-2002,246327,2216,75639,324182,155765,,21381,13184,8197,242142,6155,101261
15-02-2002,247949,2316,65541,315806,146293,,20901,12171,8730,244458,6155,102001
22-02-2002,247583,2322,70345,320250,151350,,19611,11775,7836,245612,6238,102561
01-03-2002,247209,2507,73643,323359,150596,,21838,11983,9855,247330,6238,102643
08-03-2002,251853,2199,68446,322498,152148,,16965,10045,6920,250706,6238,103559
15-03-2002,252836,2492,74591,329919,152179,,21562,12723,8839,254176,6238,104236
22-03-2002,251605,2704,67791,322100,141768,,17869,10904,6965,259973,6366,103876
29-03-2002,251519,3033,78904,333456,147175,,19528,11168,8360,264208,6366,103821
31-03-2002,250974,,84147,337952,,,,,,,,
05-04-2002,254992,2645,64940,322577,144036,,10973,7776,3197,266420,6366,105219
12-04-2002,260052,2344,70850,333246,153725,,12356,8857,3499,267992,6366,107194
19-04-2002,260992,2360,80657,344009,160102,,16754,11292,5462,269146,6383,108376
26-04-2002,260781,2525,73542,336848,155562,,14157,9734,4423,270858,6383,110113
03-05-2002,264456,2212,79054,345722,161069,,17757,11825,5932,272347,6383,111835
10-05-2002,269553,2373,73664,345590,163054,,14760,10215,4545,272799,6383,111407
17-05-2002,270333,2316,77375,350024,169065,,14652,9696,4956,272290,6383,112366
24-05-2002,269058,2249,79532,350840,169699,,13658,9621,4037,273476,6383,112377
31-05-2002,267324,2272,69023,338618,159701,,10512,7418,3094,275234,6459,113288
07-06-2002,271722,2077,68604,342403,164653,,9737,6744,2993,276026,6459,114473
14-06-2002,271376,2371,71321,345068,166991,,9801,6821,2980,277079,6459,115263
21-06-2002,268480,3883,69538,341901,163492,,9725,6804,2921,279143,6459,116919
28-06-2002,265607,3238,60275,329120,147966,,10140,7221,2919,283248,6534,118768
05-07-2002,267650,3792,71830,343272,164117,,9486,6552,2934,283136,6534,120001
12-07-2002,267900,4017,78807,350724,169412,,9660,6731,2929,286681,6534,121563
19-07-2002,264721,3617,64462,332800,148552,,9598,6672,2926,290495,6534,122379
26-07-2002,260990,3778,76947,341714,155332,,9675,6750,2925,291371,6666,121329
02-08-2002,260087,3629,68198,331913,144182,,8723,5807,2916,292554,6666,120211
09-08-2002,262988,3551,75325,341863,154137,,8662,5724,2938,292093,6666,119693
16-08-2002,262810,3515,70090,336415,136984,,8802,5882,2920,294555,6666,110592
23-08-2002,260622,3571,72258,336451,134207,,8658,5732,2926,296132,6728,109274
30-08-2002,257898,3500,62474,323872,119616,,9171,6241,2930,298402,6728,110046
06-09-2002,261136,3509,81730,346375,140632,,9408,6482,2926,301133,6728,111527
13-09-2002,262192,3526,68346,334064,127529,,9472,6413,3059,300446,6728,110111
20-09-2002,259706,3479,72726,335911,128187,,9357,6430,2927,302867,6790,111289
27-09-2002,256885,3314,78072,338272,129580,,9731,6747,2984,303419,6790,111249
04-10-2002,259132,3913,71515,334560,124113,,9320,6348,2972,305860,6790,111524
11-10-2002,264918,3284,69902,338104,124869,,9717,6762,2955,308931,6790,112203
18-10-2002,265903,3262,66637,335802,120553,,9804,6698,3106,310029,6851,111435
25-10-2002,263661,3309,72192,339162,125351,,9552,6641,2911,309754,6851,112347
01-11-2002,266399,3189,86679,356267,142511,,9462,6520,2942,312335,6661,114702
08-11-2002,275815,3024,65778,344618,128410,,9334,6391,2943,315551,6851,115529
15-11-2002,273914,3602,73033,350550,130939,,9431,6467,2964,318416,6851,115087
22-11-2002,270898,3285,69087,343271,121565,,8960,5991,2969,320971,6851,115075
29-11-2002,267986,2932,71688,342605,118134,,9302,6198,3104,323042,6907,114779
06-12-2002,272372,2782,67597,342752,117950,111794,9125,6118,3007,326991,6907,118221
13-12-2002,274103,2945,72193,349241,123022,116319,9030,6070,2960,329697,6907,119416
20-12-2002,271987,2657,70682,345326,114792,106941,9123,6008,3115,334008,6907,119504
27-12-2002,270912,2618,70298,343828,110760,105402,9364,6401,2963,337633,6947,120876
03-01-2003,271778,3128,68170,343076,109876,103357,9503,6523,2980,339703,6947,122952
10-01-2003,275090,2736,76630,354456,120210,113070,10186,7184,3002,342156,6947,125044
17-01-2003,276086,2695,68139,346919,108054,101410,10746,7054,3692,347064,6947,125892
24-01-2003,274471,2671,70920,348062,107823,102114,9881,6956,2925,350437,6993,127072
31-01-2003,273054,3130,72595,348779,108321,102858,9472,6532,2940,351677,6993,127683
07-02-2003,279109,2917,71554,353580,108508,102984,8965,6059,2906,356290,6993,127176
14-02-2003,281582,2776,74323,358680,110539,105258,8860,5941,2919,360224,6993,127936
21-02-2003,280250,3247,68040,351537,101608,95908,9034,6118,2916,359727,7036,125869
28-02-2003,278871,2667,75467,357005,117402,113829,11298,7319,3979,347369,7036,126102
07-03-2003,283482,2487,73923,359892,119749,113721,10679,7456,3223,351484,7036,129056
14-03-2003,285846,2707,74878,363432,121240,117286,9220,6287,2933,352264,7036,126329
21-03-2003,285704,3310,64369,353383,109456,106292,9148,6176,2972,352079,7071,124372
28-03-2003,283347,3595,82009,368951,120386,114968,12273,7471,4802,355710,7071,126489
04-04-2003,284425,3825,68404,356654,105976,103489,9788,6777,3011,355686,7071,121868
11-04-2003,291538,3149,69676,364363,111202,107937,9540,6537,3003,359128,7071,122578
18-04-2003,294871,3071,82318,380260,127259,122691,9448,6447,3001,360383,7107,123937
25-04-2003,293695,2703,73257,369654,113913,108008,9225,6277,2948,364658,7107,125249
02-05-2003,295132,2957,87782,385871,129458,126664,9049,6055,2994,367467,7107,127210
09-05-2003,303201,2497,70713,376410,118084,114213,8727,5731,2996,370729,7107,128236
16-05-2003,304447,2674,79201,386322,126876,126170,8514,5591,2923,373493,7107,129668
23-05-2003,303414,2482,71524,377420,112568,108577,8861,5823,3038,379468,7107,130584
30-05-2003,301064,2455,85918,389437,123545,119764,8172,5164,3008,382579,7141,132001
06-06-2003,305091,2415,71108,378615,111851,109970,8505,5503,3002,382447,7141,131328
13-06-2003,305652,2721,78011,386385,119304,116856,8597,5570,3027,384928,7141,133584
20-06-2003,303713,3955,71073,378741,109971,107799,8479,5494,2985,382344,7141,129195
27-06-2003,300355,3308,81740,385403,116229,113419,8644,5669,2975,380954,7155,127578
04-07-2003,302307,3688,67528,373524,102035,99183,7727,4841,2886,383517,7155,126912
11-07-2003,302651,3720,69081,375452,98421,94314,8012,5048,2964,384244,7155,122380
18-07-2003,299692,3600,71998,375290,92707,87326,8209,5283,2926,388844,7155,121625
25-07-2003,295914,3997,78841,378752,96706,93572,7425,4480,2945,391984,7175,124539
01-08-2003,294062,4537,65924,364523,80564,78176,5792,2835,2957,390926,7175,119933
08-08-2003,297579,3595,69466,370641,85716,82328,6333,2886,3447,391241,7175,119824
15-08-2003,297936,3562,81196,382694,87104,83215,5786,2806,2980,392197,7175,109568
22-08-2003,295313,3558,75439,374309,74786,69548,6263,3312,2951,392463,7211,106413
29-08-2003,292483,3505,72861,368849,67890,63957,5746,2795,2951,395551,7211,107548
05-09-2003,296336,3426,77081,376843,73099,69635,5843,2865,2978,401292,7211,110601
12-09-2003,296867,3540,78337,378743,75571,73219,6093,3116,2977,402198,7211,112329
19-09-2003,294401,3660,69108,367168,63082,59675,6120,3106,3014,406673,7229,115936
26-09-2003,292117,4028,71863,368009,62738,59439,5402,2433,2969,409702,7229,117062
03-10-2003,295499,4181,72543,372223,76431,72321,5009,2019,2990,398973,7229,115418
10-10-2003,300346,3877,83403,387626,81829,76015,5489,2486,3003,410168,7229,117089
17-10-2003,301231,3463,67583,372278,62624,59518,5225,2297,2928,414273,7229,117072
24-10-2003,305416,3457,72186,381059,71009,66684,5636,2601,3035,416714,7229,119528
31-10-2003,306319,4847,75496,386662,71210,66168,5552,2653,2899,419623,7252,116975
07-11-2003,310187,3292,73190,386670,66974,61156,5183,2289,2894,422132,7252,114871
14-11-2003,310416,3280,68860,382555,64353,58203,4708,2633,2075,424723,7252,118480
21-11-2003,309114,3255,74070,386440,60919,54618,5094,3020,2074,436956,7252,123781
28-11-2003,308811,3362,79001,391174,63839,57997,5020,2936,2084,441078,7262,126025
05-12-2003,312539,3367,74411,390316,58440,52263,5125,3026,2099,444983,7262,125493
12-12-2003,314370,3369,77622,395360,59434,53083,5134,3044,2090,450693,7262,127163
19-12-2003,313031,3174,76209,392415,53709,45488,5440,3349,2091,455560,7262,129557
26-12-2003,312387,3693,75068,391149,50576,43831,5324,3244,2080,458605,7272,130628
02-01-2004,312177,3889,77957,394023,49572,43737,4789,2718,2071,465465,7272,133075
09-01-2004,316251,3316,75677,395243,48161,40459,5721,3564,2157,472416,7272,138326
16-01-2004,317729,3352,73007,394088,43313,36919,5323,3253,2070,468745,7272,130564
23-01-2004,316382,3463,84257,404102,52409,48250,5621,3557,2064,472895,7280,134104
30-01-2004,315925,4034,78060,398018,39922,35841,5917,3850,2067,475842,7280,130943
06-02-2004,320959,3582,73263,397804,38111,34307,3842,1783,2059,482697,7280,134126
13-02-2004,323543,3269,74720,401532,40145,35269,4111,2055,2056,486564,7280,136568
20-02-2004,323170,3470,77264,403904,37469,30512,4417,2356,2061,487435,7291,132708
27-02-2004,322212,3279,79164,404655,34745,30566,5145,3082,2063,490433,7291,132960
05-03-2004,325962,3300,82424,411687,36430,32650,4352,2289,2063,494433,7291,130819
12-03-2004,329369,3471,84320,417159,35681,34010,4424,2370,2054,496114,7291,126351
19-03-2004,328262,4209,75305,407776,27483,23305,3917,1874,2043,497402,7296,128322
26-03-2004,327283,5079,84703,417065,31981,27445,4549,2493,2056,493648,7296,120408
02-04-2004,326421,4372,84852,415645,23279,22599,7939,5866,2073,487302,7296,110170
09-04-2004,334491,3729,83416,421636,14972,10623,6383,4342,2041,500461,7296,107474
16-04-2004,339601,3826,72340,415768,1647,6028,6249,4225,2024,510219,7296,106350
23-04-2004,340753,3857,83968,428578,8377,5760,5681,3659,2022,514531,7296,107305
30-04-2004,341135,3807,90141,435083,13361,7689,5438,3416,2022,520009,7314,111038
07-05-2004,346254,3690,76558,426503,4668,1272,4237,2215,2022,524226,7314,113941
14-05-2004,347650,3683,81379,432712,8921,4957,4309,2288,2021,532804,7314,120635
21-05-2004,345565,3662,85598,434825,14314,10320,4487,2466,2021,531221,7314,122511
28-05-2004,343094,3803,79611,426508,4259,651,5911,3795,2116,537506,7324,128492
04-06-2004,345950,3773,77246,426969,6812,5016,3916,1985,1931,535073,7324,126155
11-06-2004,346822,3523,84443,434787,12354,9288,4175,2254,1921,532436,7324,121501
18-06-2004,344500,4553,76123,425176,3009,1207,4226,2332,1894,541274,7324,130657
25-06-2004,341345,3656,84700,429700,10764,6891,4495,2605,1890,541938,7333,134829
02-07-2004,340570,5231,78912,424712,2931,577,5073,3183,1890,545881,7333,136504
09-07-2004,342644,4642,76315,423600,1270,,4925,3035,1890,546731,7333,136657
16-07-2004,341154,4488,83811,429453,7314,3693,5234,3344,1890,552997,7333,143423
23-07-2004,337556,4564,82275,424395,2363,1640,5121,3231,1890,546541,7339,136967
30-07-2004,333981,4682,84300,422962,4675,1554,5576,3686,1890,543370,7339,137998
06-08-2004,337441,4700,80931,423072,6322,4137,3306,1416,1890,548054,7339,141948
13-08-2004,338209,4428,92823,435460,16389,14163,3665,1775,1890,546034,7339,137967
20-08-2004,336387,4491,88995,429873,10580,7380,4025,2135,1890,545026,7339,137097
27-08-2004,334587,4470,83372,422429,3080,750,4416,2526,1890,538271,7339,130677
03-09-2004,336900,4516,87016,428432,9001,7761,4130,2240,1890,538581,7339,130618
10-09-2004,338572,4544,84299,427415,7649,5782,4299,2409,1890,541166,7339,133038
17-09-2004,337179,4411,81826,423415,4585,2392,3756,1866,1890,536677,7341,128945
24-09-2004,334151,4487,90235,428872,10571,7880,3734,1844,1890,539787,7341,132561
01-10-2004,332798,7039,88352,428190,8694,7868,4281,2391,1890,541846,7341,133972
08-10-2004,338320,6694,92591,437605,18902,15312,3832,1942,1890,540918,7341,133388
15-10-2004,341067,6670,91435,439172,20865,15524,3773,1883,1890,542755,7341,135562
22-10-2004,342921,6681,99765,449366,31261,25371,3922,2032,1890,546150,7341,139308
29-10-2004,342164,6501,93715,442380,22554,18135,4187,2297,1890,544963,7361,136685
05-11-2004,349185,6645,97297,453127,30388,27093,6848,4852,1996,545322,7361,136791
12-11-2004,359900,6788,92073,458760,30737,27380,7097,4688,2409,552420,7361,138854
19-11-2004,359536,6615,103112,469262,34073,29637,8604,6545,2059,558591,7361,139366
26-11-2004,354914,4403,96337,455655,18204,14052,7328,5438,1890,565559,7374,142811
03-12-2004,355828,4372,97253,457452,9630,8910,5049,3159,1890,572243,7374,136844
10-12-2004,357298,4259,91444,453002,5101,4626,5130,3240,1890,572350,7374,136953
17-12-2004,355766,4191,98433,458390,9014,7686,6603,4713,1890,569204,7374,133804
24-12-2004,353646,4721,96595,454961,4770,2594,7483,5593,1890,568140,7431,132861
31-12-2004,351088,4642,113674,469404,18333,15337,8180,6290,1890,565418,7431,129958
07-01-2005,355917,4548,88541,449007,2265,3686,7302,5412,1890,559597,7431,123058
14-01-2005,358584,4411,99348,462344,11518,9908,7637,5747,1890,560947,7431,125189
21-01-2005,357994,5510,102227,465731,14187,11023,8124,6234,1890,560344,7436,124360
28-01-2005,356420,4464,103590,464474,13530,10137,7482,6092,1390,561595,7436,125569
04-02-2005,359105,4418,99762,463285,12560,11849,6405,5015,1390,554312,7436,117427
11-02-2005,361807,4368,100827,467002,12514,11453,6417,5027,1390,562933,7436,122298
18-02-2005,361254,4364,96186,461804,2037,4517,6530,5140,1390,576600,7435,126723
25-02-2005,358982,5478,102198,466659,4680,6881,6125,4735,1390,586453,7435,128674
04-03-2005,363050,4420,96643,464113,16077,16713,6130,4740,1390,595008,7435,128382
11-03-2005,367486,4774,103631,475891,13282,14280,6186,4796,1390,605595,7435,130042
18-03-2005,368661,6478,113996,489135,17975,30770,6648,5258,1390,612790,7448,119776
25-03-2005,369935,6379,117126,493440,8233,8519,7682,6292,1390,611172,7448,124629
01-04-2005,368000,6295,100325,474619,27662,28214,6634,5244,1390,611443,7448,123243
08-04-2005,376799,4544,104028,485372,16562,17847,6524,5135,1390,612862,7448,124901
15-04-2005,381752,4682,110653,497088,4541,8720,6343,4954,1390,614051,7448,126213
22-04-2005,383480,4433,104903,492816,9260,13760,6378,4988,1390,617274,7448,129024
29-04-2005,384319,4462,111859,500640,1199,5850,6596,5206,1390,613095,7435,125288
06-05-2005,391483,4612,102219,498314,5588,7027,6585,5196,1390,608357,7435,118475
13-05-2005,394627,4247,112512,511387,7612,5517,7029,5640,1390,602580,7435,113271
20-05-2005,393111,4289,105989,503389,1038,1024,7657,6268,1390,601266,7435,111932
27-05-2005,389838,4302,96554,490695,16067,16921,8483,7093,1390,602321,7495,111538
03-06-2005,391643,4396,106155,502194,4170,4312,7615,6226,1390,598604,7495,107351
10-06-2005,393192,4362,107779,505333,770,729,7924,6534,1390,596570,7495,105887
17-06-2005,391831,4747,107306,503884,757,716,6940,5551,1390,601526,7495,111320
24-06-2005,388538,4435,103317,496290,8699,8658,7802,6413,1390,598202,7832,108847
01-07-2005,386300,5028,108897,500224,3196,3499,6344,4958,1387,591464,7832,102220
08-07-2005,389267,4872,103484,497622,5259,5610,5251,3864,1387,590468,7832,100670
15-07-2005,388197,4897,113825,506919,2432,2273,4985,3598,1387,591856,7832,100185
22-07-2005,384337,4933,108186,497455,7509,7927,4829,3442,1387,590033,8190,98088
29-07-2005,380382,5469,121399,507250,9190,9878,5028,3641,1387,604683,8190,101460
05-08-2005,383280,5165,101457,489903,32684,33054,4584,3197,1387,613600,8190,103786
12-08-2005,385267,4687,112010,501965,29058,29266,4824,3437,1387,623069,8190,105059
19-08-2005,384372,4781,115468,504621,25508,25656,4778,3391,1387,617820,8183,100652
26-08-2005,380697,4711,111449,496857,33121,33430,4511,3124,1387,622573,8183,105290
02-09-2005,380163,5453,108727,494343,35756,35715,5016,3629,1387,633319,8183,116419
09-09-2005,384321,4719,101438,490478,40295,40448,4871,3484,1387,630188,8183,112469
16-09-2005,383893,4937,115380,504210,26306,26556,5436,4049,1387,626431,8183,109534
23-09-2005,380372,4748,122182,507302,22223,22293,5037,3650,1387,622010,8183,105705
30-09-2005,379060,5192,113096,497348,33950,33909,5933,4546,1387,623022,8741,106398
07-10-2005,386622,4716,114258,505596,25362,25546,5223,3836,1387,628829,8741,111835
14-10-2005,392397,5067,121427,518891,11333,11361,5271,3884,1387,637065,8741,120853
21-10-2005,390538,4606,117285,512429,18215,18184,5322,3935,1387,638269,8741,121688
28-10-2005,394282,4609,111995,510885,19815,19853,4957,3570,1387,641295,8675,124227
04-11-2005,406185,4573,120208,530966,157,526,5486,4099,1387,641413,8675,124450
11-11-2005,406551,4503,113965,525019,7013,7030,7037,5190,1846,644963,8675,128643
18-11-2005,404576,4502,121447,530526,1466,1582,6371,4484,1887,643994,8675,127048
25-11-2005,401742,4807,117043,523592,7872,8064,5529,4142,1387,644535,8618,127219
02-12-2005,402734,4780,118242,525756,8246,8536,5391,4004,1387,654156,8618,134162
09-12-2005,408341,4533,114651,527525,5339,5700,4594,3207,1387,659405,8618,139754
16-12-2005,409513,4453,126006,539972,7025,7066,4711,3325,1387,652563,8618,132945
23-12-2005,408214,4445,110129,522788,14071,14096,6034,4513,1522,646764,8641,124581
30-12-2005,406632,4610,124059,535302,27633,27479,9652,6900,2752,614254,8641,124878
06-01-2006,411373,4603,108363,524339,18941,18925,5565,4178,1387,618422,8641,127230
13-01-2006,417713,4808,131315,553836,46656,46698,8973,6397,2576,613776,8641,124212
20-01-2006,416161,4556,113127,533844,27323,27364,8423,6084,2339,614837,7590,124330
27-01-2006,415112,4633,122230,541975,34818,34859,9256,7212,2043,612192,7590,121882
03-02-2006,417781,4814,111330,533924,26300,26341,7083,5165,1918,614936,7590,121984
10-02-2006,423033,4992,120866,548891,35533,35574,7985,6143,1842,617391,7590,119609
17-02-2006,423908,4795,112584,541287,24754,24796,7756,6015,1741,624363,7609,123195
24-02-2006,422460,5046,123611,551117,33619,33646,6895,5266,1629,625778,7609,122784
03-03-2006,425708,5042,121081,551831,32871,32912,6093,4464,1629,631676,7609,126419
10-03-2006,430913,5241,123140,559294,31433,31474,7198,5566,1632,637042,7609,123988
17-03-2006,432851,5721,116137,554709,24836,24877,5600,4166,1435,645866,7609,129203
24-03-2006,430719,6188,125273,562180,16054,16095,7316,5929,1387,660408,7609,129207
31-03-2006,429578,6843,135511,571932,6599,5160,7182,5795,1387,672986,7656,122492
07-04-2006,434027,6772,125662,566460,2524,2653,5678,4291,1387,684808,7656,129157
14-04-2006,441715,6641,114660,563016,9753,10447,5151,3764,1387,699184,7656,139222
21-04-2006,445643,6664,128062,580370,5559,4137,4733,3346,1387,705334,7656,142913
28-04-2006,446376,6618,142207,595202,17929,16996,3827,2440,1387,719050,7709,153313
05-05-2006,452433,6838,134468,593739,13276,13317,3657,2270,1387,725436,7709,156339
12-05-2006,456623,6626,128288,591537,11510,11772,2852,1465,1387,734100,7709,164634
19-05-2006,454851,6525,128074,589450,7760,7434,3709,2323,1387,736946,7709,166675
26-05-2006,451642,6383,130562,588587,7734,7775,2764,1378,1387,741325,7749,170985
02-06-2006,452026,6801,128033,586860,3181,3222,3183,1796,1387,756193,7749,183446
09-06-2006,456190,6374,131793,594357,10744,10786,3969,2582,1387,744691,7749,172797
16-06-2006,456252,6372,133883,596507,13473,13514,3854,2467,1387,745424,7749,173994
23-06-2006,452918,5229,128308,586454,8189,8230,4047,2660,1387,744831,7792,178406
30-06-2006,448769,5890,134269,588928,5759,5695,5572,4188,1384,747165,7792,177360
07-07-2006,452351,5878,123690,581920,2191,2344,4044,2660,1384,749387,7792,177113
14-07-2006,453296,5812,127297,586404,3383,3424,4100,2716,1384,751453,7792,180323
21-07-2006,450244,5728,127058,583030,1237,1196,4088,2704,1384,760868,7824,188512
28-07-2006,446782,6005,128568,581355,2970,2976,4319,2935,1384,759778,7824,187596
04-08-2006,449534,5814,128371,583719,769,980,2657,1273,1384,767972,7824,193965
11-08-2006,453500,5479,129318,588297,2517,2638,2712,1328,1384,764415,7824,184137
18-08-2006,453650,5766,130758,590174,1252,1258,3225,1841,1384,765055,7857,184710
25-08-2006,448829,5495,134841,589166,3156,3286,4095,2711,1384,766912,7857,186542
01-09-2006,447997,5891,131878,585765,7604,8050,3978,2594,1384,770951,7857,189416
08-09-2006,453315,5474,130314,589102,5680,6017,5111,3727,1384,759611,7857,177796
15-09-2006,452715,5437,142287,600439,6920,6832,5523,4139,1384,760373,7857,180233
22-09-2006,449687,5434,128821,583942,9516,9614,5604,4220,1384,761662,7857,181665
29-09-2006,450860,5676,148531,605067,11016,10815,7154,5682,1472,756219,7900,177221
06-10-2006,455288,5663,128351,589301,5959,6395,6118,4734,1384,750538,7900,169296
13-10-2006,459206,5409,133400,598014,2776,2567,6045,4661,1384,747707,7900,166413
20-10-2006,467906,5403,142558,615868,20124,20189,6806,5421,1384,750291,7900,169253
27-10-2006,470842,4993,130375,606210,10732,10617,6807,5423,1384,752562,7952,171843
03-11-2006,468226,4918,140081,613225,18417,18022,6043,4659,1384,745982,7952,165168
10-11-2006,470602,4871,124169,599642,4017,3789,4732,3348,1384,744938,7952,161997
17-11-2006,470545,4924,140434,615903,9101,8851,5442,4058,1384,763317,7952,169909
24-11-2006,468547,5261,139890,613697,3426,3272,5283,3899,1384,771921,7990,174923
01-12-2006,468260,5240,136137,609636,3337,3681,4673,3289,1384,780994,7990,180685
08-12-2006,475930,4758,137990,618678,4774,4167,3692,2308,1384,781132,7990,178910
15-12-2006,478800,4824,147030,630654,11995,11954,7839,6359,1480,780977,7990,178147
22-12-2006,477692,5175,136366,619233,1738,1753,9220,7704,1515,783470,8027,179745
29-12-2006,477139,5450,161981,644571,20026,19596,10479,8906,1574,781543,8027,175505
05-01-2007,481032,5298,138973,625302,312,919,7028,5542,1486,779788,8027,169229
12-01-2007,486460,5182,155522,647163,18544,18183,9543,7867,1677,788811,8027,177762
19-01-2007,488261,5559,147830,641650,12242,12123,9711,7804,1907,787320,8064,175686
26-01-2007,487707,4725,162127,654559,19039,18781,9704,7889,1815,789661,8064,171909
02-02-2007,489948,5051,153462,648462,12629,12541,7151,5307,1844,791771,8064,171154
09-02-2007,496350,4817,154369,655536,75,207,3878,2437,1441,813460,8064,169792
16-02-2007,498951,4677,165642,669270,32,87,4380,2939,1441,830882,8103,174064
23-02-2007,498154,4752,166890,669797,14609,14695,3512,2071,1441,852995,8103,180205
02-03-2007,500790,4937,164954,670682,19801,19760,3172,1788,1384,859766,8103,180557
09-03-2007,506716,4854,177776,689346,1349,1458,3085,1701,1384,858588,8103,179080
16-03-2007,507932,4721,176341,688994,3378,3337,5778,4345,1433,863540,8103,185049
23-03-2007,506566,4773,188131,699470,149,108,9152,7506,1646,862495,8103,180132
30-03-2007,504935,5354,191330,701620,2802,2761,9108,7570,1537,866152,8161,178998
06-04-2007,508053,8277,175964,692293,12773,12802,4728,3343,1384,862675,8161,170497
13-04-2007,518475,7275,165497,691248,18307,18486,2765,1381,1384,866592,8161,167964
20-04-2007,521436,6943,194021,722400,9588,9137,7951,6565,1386,855212,8161,158512
27-04-2007,520898,6940,202508,730347,18546,17991,6708,5322,1386,838082,8227,141215
04-05-2007,525528,6971,197376,729874,15929,14235,6049,4663,1386,832671,8227,133001
11-05-2007,528690,7331,182376,718397,6348,4230,2981,1595,1386,841289,8227,140448
18-05-2007,526949,5289,196176,728414,12772,11848,7133,5747,1386,832612,8227,132330
25-05-2007,522858,5319,197666,725844,6304,5529,5817,4431,1386,830590,8356,125223
01-06-2007,520079,5919,226187,752185,21965,21948,2814,1428,1386,842947,8356,123898
08-06-2007,524943,14795,209064,748802,12657,11795,2727,1341,1386,856608,8356,131546
15-06-2007,524544,5375,212927,742846,1850,880,2745,1359,1386,862423,8356,132528
22-06-2007,521064,7032,192496,720592,19731,19690,2723,1337,1386,863408,8427,134235
29-06-2007,515774,4731,211370,731874,25001,25042,2659,1276,1383,868044,8427,172256
06-07-2007,517618,11006,211266,739890,28167,27847,1394,11,1383,867527,8427,165624
13-07-2007,518546,5232,212021,735799,14119,13448,1394,11,1383,884400,8427,172541
20-07-2007,514638,12324,224980,751942,21884,21011,1394,11,1383,893889,8490,173715
27-07-2007,509668,5834,244816,760318,9177,8152,1393,10,1383,910493,8490,169236
03-08-2007,509645,16049,252045,777739,15827,14593,1397,14,1383,923779,8490,171755
10-08-2007,512395,5031,228602,746027,63265,65262,1412,29,1383,929296,8490,129906
17-08-2007,512920,5010,214316,732246,80206,80193,3776,2364,1412,938645,8490,138459
24-08-2007,508609,5098,234660,748367,60101,60479,1491,108,1383,939991,8490,141504
31-08-2007,506688,5011,234534,746234,62939,64271,1475,92,1383,935471,8615,136389
07-09-2007,511451,5069,220264,736783,72775,75507,1484,101,1383,936257,8615,136798
